Time,Money,Balance,Position,Buy,Sell,StatWin,Buffer,Layer1,Layer2,Layer3,Layer4
0:15:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
1:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
1:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
1:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
1:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
2:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
2:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
2:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
2:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
3:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
3:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
3:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
3:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
4:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
4:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
4:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
4:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
5:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
5:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
5:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
5:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
6:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
6:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
6:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
6:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
7:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
7:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
7:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
7:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
8:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
8:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
8:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
8:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
9:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
9:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
9:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
9:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
10:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
10:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
10:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
10:30:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
11:00:00,100,97.54,4,4,0,1,0.27,-2.73,0,0,0
